timestamp,cpu,mem,disk,process_info
2025-10-01 15:40:26,38.9,55.2,77.9,0|System Idle Process|127.1|0.0078125;260|Code.exe|0.0|531.78515625;1792|MemCompression|0.0|419.90625;12944|MsMpEng.exe|0.0|250.11328125;15420|Code.exe|0.0|307.6328125;15660|chrome.exe|100.1|601.734375;20208|python3.11.exe|100.2|120.80078125
2025-10-01 15:40:29,77.2,55.8,77.9,0|System Idle Process|203.3|0.0078125;260|Code.exe|0.0|531.78515625;1792|MemCompression|0.0|419.7890625;12944|MsMpEng.exe|0.0|250.0859375;15420|Code.exe|0.0|307.78125;15660|chrome.exe|117.5|602.671875;20208|python3.11.exe|52.9|121.1328125
2025-10-01 15:40:30,91.6,54.9,77.9,0|System Idle Process|130.4|0.0078125;260|Code.exe|0.0|531.78515625;1792|MemCompression|0.0|419.78515625;12944|MsMpEng.exe|0.0|253.23046875;15420|Code.exe|30.2|308.96484375;15660|chrome.exe|79.7|602.73046875;20208|python3.11.exe|80.3|120.8125
2025-10-01 15:40:31,62.5,55.2,77.9,0|System Idle Process|83.3|0.0078125;260|Code.exe|0.0|531.78515625;1792|MemCompression|0.0|419.66015625;12944|MsMpEng.exe|0.0|253.19140625;15420|Code.exe|15.0|309.1953125;15660|chrome.exe|174.7|492.296875;20208|python3.11.exe|91.1|120.82421875;25536|msedge.exe|23.8|110.8203125
2025-10-01 15:40:33,40.2,55.2,77.9,0|System Idle Process|144.9|0.0078125;260|Code.exe|0.0|531.78515625;1792|MemCompression|0.0|419.54296875;11620|dwm.exe|22.1|61.64453125;12944|MsMpEng.exe|1.1|253.13671875;15420|Code.exe|47.9|309.671875;15660|chrome.exe|122.9|514.953125;20208|python3.11.exe|81.4|120.82421875
2025-10-01 15:40:35,38.1,54.9,77.9,0|System Idle Process|153.7|0.0078125;260|Code.exe|0.0|531.78515625;1792|MemCompression|0.0|419.53515625;12944|MsMpEng.exe|0.0|253.0546875;15420|Code.exe|5.8|310.2421875;15660|chrome.exe|92.3|496.63671875;20208|python3.11.exe|53.3|121.08984375
2025-10-01 15:40:36,71.7,54.9,77.9,0|System Idle Process|229.5|0.0078125;260|Code.exe|3.1|531.78515625;1792|MemCompression|0.0|419.53515625;11620|dwm.exe|23.8|61.3828125;12944|MsMpEng.exe|0.0|253.03515625;15420|Code.exe|47.3|310.4609375;15660|chrome.exe|0.0|496.6953125;20208|python3.11.exe|94.0|120.8359375
2025-10-01 15:40:38,37.0,54.8,77.9,0|System Idle Process|87.8|0.0078125;260|Code.exe|0.0|531.78515625;1792|MemCompression|0.0|419.41015625;2924|Code.exe|70.8|137.08984375;11620|dwm.exe|49.0|61.3828125;12944|MsMpEng.exe|2.1|253.0;15420|Code.exe|27.1|305.9375;15660|chrome.exe|25.0|498.546875;20208|python3.11.exe|68.8|121.08984375
2025-10-01 15:40:40,78.0,54.7,77.9,0|System Idle Process|201.1|0.0078125;260|Code.exe|0.0|531.78515625;1792|MemCompression|0.0|419.30859375;8596|chrome.exe|31.8|154.25390625;11420|chrome.exe|42.5|159.92578125;11620|dwm.exe|31.5|61.3828125;12944|MsMpEng.exe|0.0|252.984375;15420|Code.exe|2.2|305.94140625;15660|chrome.exe|31.1|500.59765625;20208|python3.11.exe|36.7|120.84375
2025-10-01 15:40:41,44.6,54.7,77.9,0|System Idle Process|67.7|0.0078125;260|Code.exe|0.0|531.78515625;1792|MemCompression|0.0|419.30859375;8596|chrome.exe|50.0|159.9375;11420|chrome.exe|31.8|159.96875;11620|dwm.exe|40.9|61.3828125;12944|MsMpEng.exe|0.0|252.984375;15420|Code.exe|0.0|305.94140625;15660|chrome.exe|48.8|494.1484375;20208|python3.11.exe|76.1|120.84375
